FID,REPORTDATE,BLOCKADD,OFFENSE
0,2010-02-03 00:00:00,800 Block 11th St,Vandalism
1,2011-08-01 00:00:00,1100 Block 11th St,Burglary
2,2011-04-23 00:00:00,1200 Block Canyon Blvd,Trespassing
3,2009-11-30 00:00:00,2700 Block 47th St,Burglary
4,2011-04-13 00:00:00,14th St & Canyon Blvd,Incident
5,2009-01-14 00:00:00,1000 Block Tantra Park Cir,Incident
6,2011-04-18 00:00:00,1000 Block Broadway,Vandalism
7,2012-05-01 00:00:00,13th St & College Ave,Auto Theft
8,2012-04-11 00:00:00,1800 Block Pearl St,Vandalism
9,2011-04-23 00:00:00,7300 Block Doral Dr,Trespassing
10,2008-09-27 00:00:00,00 Block S 36th St,Burglary
11,2011-05-02 00:00:00,2500 Block 30th St,Vandalism
12,2008-12-18 00:00:00,1600 Block Zamia Av,Sex Assault
13,2009-08-05 00:00:00,55th St & Pearl Pkwy,Vandalism
14,2011-02-28 00:00:00,1100 Block Pearl St,Trespassing
15,2008-06-03 00:00:00,1000 Block 12th St,Burglary
16,2011-11-08 00:00:00,4700 Block Pearl St,Sex Assault
17,2010-05-23 00:00:00,4200 Block Chippewa Dr,Burglary
18,2011-04-13 00:00:00,1100 Block Pleasant St,Incident
19,2012-05-01 00:00:00,2200 Block Pearl St,Trespassing
20,2011-04-18 00:00:00,1100 Block Grandview Ave,Burglary
21,2008-07-15 00:00:00,1100 Block Pleasant St,Vandalism
22,2011-04-23 00:00:00,3100 Block Airport Rd,Assault
23,2012-04-22 00:00:00,4800 Block Broadway,Trespassing
24,2012-10-21 00:00:00,3000 Block Madison Ave,Theft From Vehicle
25,2011-04-13 00:00:00,20th St & Broadway,Vandalism
26,2012-04-20 00:00:00,Broadway & University Ave,Vandalism
27,2011-05-02 00:00:00,1100 Block University Ave,Vandalism
28,2008-01-08 00:00:00,1300 Block Georgetown Rd,Burglary
29,2011-04-24 00:00:00,27th Way & Baseline Rd,Vandalism
30,2011-04-14 00:00:00,3700 Block Birchwood Dr,Burglary
31,2008-09-30 00:00:00,800 Block Walnut St,Trespassing
32,2008-03-10 00:00:00,2900 Block Shadow Creek Dr,Theft From Vehicle
33,2011-04-18 00:00:00,900 Block Pennsylvania Ave,Motorcycle Theft
34,2009-06-15 00:00:00,2300 Block Pearl St,Vandalism
35,2012-05-30 00:00:00,2000 Block Orchard Ave,Auto Theft
36,2011-04-24 00:00:00,2900 Block 19th St,Burglary
37,2011-05-03 00:00:00,900 Block 14th St,Vandalism
38,2011-05-03 00:00:00,1800 Block Alpine Ave,Vandalism
39,2009-04-23 00:00:00,Crime occurred at an unknown location,Sex Assault
40,2008-06-27 00:00:00,10th St & Pearl St,Vandalism
41,2008-11-24 00:00:00,4600 Block Macky Way,Theft From Vehicle
42,2010-07-11 00:00:00,700 Block Mohawk Dr,Vandalism
43,2008-02-11 00:00:00,1700 Block Pearl St,Vandalism
44,2011-04-14 00:00:00,4700 Block Sterling Dr,Burglary
45,2011-05-03 00:00:00,2300 Block Goss St,Theft From Vehicle
46,2011-04-18 00:00:00,2100 Block Walnut St,Burglary
47,2009-05-22 00:00:00,2800 Block Sundown Ln,Vandalism
48,2011-09-30 00:00:00,2600 Block Colorado Ave,Assault
49,2011-08-08 00:00:00,700 Block S 45th St,Vandalism
50,2011-05-03 00:00:00,Broadway & Foothills Hy,Sex Assault
51,2008-04-13 00:00:00,2600 Block Table Mesa Dr,Theft From Vehicle
52,2009-08-21 00:00:00,400 Block 22nd St,Burglary
53,2011-04-25 00:00:00,5700 Block Arapahoe Ave,Theft From Vehicle
54,2011-04-14 00:00:00,2800 Block E Aurora Ave,Burglary
55,2011-04-18 00:00:00,6700 Block Lookout Rd,Vandalism
56,2011-10-10 00:00:00,1000 Block 13th St,Assault
57,2011-04-25 00:00:00,15th St & Spruce St,Theft From Vehicle
58,2011-10-15 00:00:00,1600 Block Broadway,Trespassing
59,2011-04-25 00:00:00,1500 Block 7th St,Vandalism
60,2011-04-25 00:00:00,2200 Block Pine St,Burglary
61,2010-06-18 00:00:00,1100 Block 10th St,Vandalism
62,2010-03-23 00:00:00,900 Block Arapahoe Ave,Theft From Vehicle
63,2012-12-31 00:00:00,2100 Block 30th St,Theft Of Car Parts
64,2011-05-03 00:00:00,9th St & Arapahoe Ave,Auto Theft
65,2012-03-11 00:00:00,11th St & Spruce St,Trespassing
66,2008-11-18 00:00:00,1100 Block Walnut St,Sex Assault
67,2012-11-20 00:00:00,1400 Block Yarmouth Ave,Vandalism
68,2012-11-13 00:00:00,2900 Block Glenwood Dr,Robbery
69,2009-06-14 00:00:00,800 Block Mapleton Ave,Vandalism
70,2008-04-30 00:00:00,2200 Block Walnut St,Burglary
71,2008-01-26 00:00:00,700 Block Arapahoe Ave,Vandalism
72,2010-05-11 00:00:00,2900 Block Iris Ave,Trespassing
73,2009-11-27 00:00:00,3300 Block Madison Ave,Auto Theft
74,2012-03-13 00:00:00,1000 Block Lincoln Pl,Theft From Vehicle
75,2009-01-11 00:00:00,2900 Block Shadow Creek Dr,Burglary
76,2010-01-11 00:00:00,3000 Block 25th St,Vandalism
77,2008-05-14 00:00:00,3200 Block Madison Ave,Theft From Vehicle
78,2009-09-27 00:00:00,1100 Block 11th St,Vandalism
79,2008-09-11 00:00:00,3000 Block Moorhead Ave,Theft From Vehicle
80,2011-11-26 00:00:00,900 Block 35th St,Burglary
81,2010-03-06 00:00:00,1000 Block Broadway,Trespassing
82,2009-09-29 00:00:00,2000 Block Mapleton Ave,Burglary
83,2009-07-13 00:00:00,1300 Block College Ave,Vandalism
84,2011-11-28 00:00:00,1700 Block Arapahoe Ave,Assault
85,2008-03-02 00:00:00,Table Mesa Dr & Tantra Dr,Robbery
86,2012-09-25 00:00:00,3000 Block Valmont Rd,Burglary
87,2010-10-09 00:00:00,1000 Block Pleasant St,Vandalism
88,2009-12-22 00:00:00,20th St & Mapleton Ave,Theft Of Car Parts
89,2010-11-01 00:00:00,00 Block S 35th St,Vandalism
90,2009-06-18 00:00:00,2800 Block Sundown Ln,Vandalism
91,2010-12-15 00:00:00,1400 Block Alpine Ave,Vandalism
92,2010-12-15 00:00:00,1600 Block Broadway,Vandalism
93,2009-08-14 00:00:00,Apache Rd & Fox Dr,Indecent Exposure
94,2008-11-17 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
95,2009-02-01 00:00:00,1300 Block Cascade Ave,Vandalism
96,2012-07-07 00:00:00,1300 Block 28th St,Incident
97,2009-09-24 00:00:00,3200 Block Kalmia Ave,Burglary
98,2009-12-16 00:00:00,00 Block Manhattan Dr,Burglary
99,2009-06-21 00:00:00,1600 Block 17th St,Burglary
100,2012-11-05 00:00:00,600 Block S Broadway,Incident
101,2012-10-20 00:00:00,2000 Block 14th St,Trespassing
102,2010-01-26 00:00:00,2400 Block Arapahoe Ave,Theft From Vehicle
103,2008-07-18 00:00:00,1500 Block 9th St,Burglary
104,2010-07-21 00:00:00,1100 Block Drexel St,Burglary
105,2009-02-09 00:00:00,4700 Block Table Mesa Dr,Vandalism
106,2010-01-20 00:00:00,1700 Block Aurora Ave,Vandalism
107,2009-10-16 00:00:00,2500 Block Pearl St,Vandalism
108,2008-07-28 00:00:00,1000 Block Lincoln Pl,Burglary
109,2009-08-20 00:00:00,2100 Block Baseline Rd,Burglary
110,2010-07-08 00:00:00,12th St & Pennsylvania Ave,Incident
